frame,time_sec,score,image_path
5,0.17,0.98,frames\video02\frame_5_0.17s.jpg
70,2.33,0.982,frames\video02\frame_70_2.33s.jpg
75,2.5,0.974,frames\video02\frame_75_2.5s.jpg
80,2.67,0.974,frames\video02\frame_80_2.67s.jpg
85,2.83,0.975,frames\video02\frame_85_2.83s.jpg
95,3.17,0.996,frames\video02\frame_95_3.17s.jpg
125,4.17,0.992,frames\video02\frame_125_4.17s.jpg
130,4.33,0.986,frames\video02\frame_130_4.33s.jpg
135,4.5,0.985,frames\video02\frame_135_4.5s.jpg
140,4.67,0.983,frames\video02\frame_140_4.67s.jpg
145,4.83,0.984,frames\video02\frame_145_4.83s.jpg
150,5.0,0.998,frames\video02\frame_150_5.0s.jpg
155,5.17,0.996,frames\video02\frame_155_5.17s.jpg
160,5.33,0.995,frames\video02\frame_160_5.33s.jpg
175,5.83,0.996,frames\video02\frame_175_5.83s.jpg
185,6.17,0.994,frames\video02\frame_185_6.17s.jpg
190,6.33,0.991,frames\video02\frame_190_6.33s.jpg
265,8.83,0.966,frames\video02\frame_265_8.83s.jpg
270,9.0,0.967,frames\video02\frame_270_9.0s.jpg
275,9.17,0.966,frames\video02\frame_275_9.17s.jpg
280,9.33,0.966,frames\video02\frame_280_9.33s.jpg
285,9.5,0.966,frames\video02\frame_285_9.5s.jpg
365,12.17,0.972,frames\video02\frame_365_12.17s.jpg
370,12.33,0.972,frames\video02\frame_370_12.33s.jpg
375,12.5,0.972,frames\video02\frame_375_12.5s.jpg
380,12.67,0.972,frames\video02\frame_380_12.67s.jpg
385,12.83,0.973,frames\video02\frame_385_12.83s.jpg
390,13.0,0.974,frames\video02\frame_390_13.0s.jpg
395,13.17,0.973,frames\video02\frame_395_13.17s.jpg
400,13.33,0.973,frames\video02\frame_400_13.33s.jpg
410,13.67,0.973,frames\video02\frame_410_13.67s.jpg
415,13.83,0.974,frames\video02\frame_415_13.83s.jpg
425,14.17,0.972,frames\video02\frame_425_14.17s.jpg
430,14.33,0.973,frames\video02\frame_430_14.33s.jpg
435,14.5,0.971,frames\video02\frame_435_14.5s.jpg
440,14.67,0.971,frames\video02\frame_440_14.67s.jpg
445,14.83,0.971,frames\video02\frame_445_14.83s.jpg
450,15.0,0.971,frames\video02\frame_450_15.0s.jpg
455,15.17,0.972,frames\video02\frame_455_15.17s.jpg
460,15.33,0.971,frames\video02\frame_460_15.33s.jpg
465,15.5,0.971,frames\video02\frame_465_15.5s.jpg
475,15.83,0.97,frames\video02\frame_475_15.83s.jpg
525,17.5,0.975,frames\video02\frame_525_17.5s.jpg
555,18.5,0.987,frames\video02\frame_555_18.5s.jpg
565,18.83,0.989,frames\video02\frame_565_18.83s.jpg
570,19.0,0.988,frames\video02\frame_570_19.0s.jpg
585,19.5,0.989,frames\video02\frame_585_19.5s.jpg
590,19.67,0.989,frames\video02\frame_590_19.67s.jpg
595,19.83,0.99,frames\video02\frame_595_19.83s.jpg
600,20.0,0.99,frames\video02\frame_600_20.0s.jpg
610,20.33,0.974,frames\video02\frame_610_20.33s.jpg
615,20.5,0.975,frames\video02\frame_615_20.5s.jpg
620,20.67,0.977,frames\video02\frame_620_20.67s.jpg
630,21.0,0.976,frames\video02\frame_630_21.0s.jpg
635,21.17,0.974,frames\video02\frame_635_21.17s.jpg
640,21.33,0.973,frames\video02\frame_640_21.33s.jpg
650,21.67,0.972,frames\video02\frame_650_21.67s.jpg
665,22.17,0.969,frames\video02\frame_665_22.17s.jpg
670,22.33,0.97,frames\video02\frame_670_22.33s.jpg
675,22.5,0.972,frames\video02\frame_675_22.5s.jpg
680,22.67,0.972,frames\video02\frame_680_22.67s.jpg
685,22.83,0.972,frames\video02\frame_685_22.83s.jpg
690,23.0,0.971,frames\video02\frame_690_23.0s.jpg
695,23.17,0.972,frames\video02\frame_695_23.17s.jpg
700,23.33,0.972,frames\video02\frame_700_23.33s.jpg
705,23.5,0.967,frames\video02\frame_705_23.5s.jpg
710,23.67,0.968,frames\video02\frame_710_23.67s.jpg
735,24.5,0.97,frames\video02\frame_735_24.5s.jpg
760,25.33,0.97,frames\video02\frame_760_25.33s.jpg
765,25.5,0.97,frames\video02\frame_765_25.5s.jpg
770,25.67,0.97,frames\video02\frame_770_25.67s.jpg
775,25.83,0.97,frames\video02\frame_775_25.83s.jpg
790,26.33,0.969,frames\video02\frame_790_26.33s.jpg
800,26.67,0.968,frames\video02\frame_800_26.67s.jpg
805,26.83,0.968,frames\video02\frame_805_26.83s.jpg
810,27.0,0.969,frames\video02\frame_810_27.0s.jpg
815,27.17,0.969,frames\video02\frame_815_27.17s.jpg
820,27.33,0.968,frames\video02\frame_820_27.33s.jpg
830,27.67,0.969,frames\video02\frame_830_27.67s.jpg
835,27.83,0.969,frames\video02\frame_835_27.83s.jpg
840,28.0,0.97,frames\video02\frame_840_28.0s.jpg
845,28.17,0.97,frames\video02\frame_845_28.17s.jpg
850,28.33,0.951,frames\video02\frame_850_28.33s.jpg
855,28.5,0.95,frames\video02\frame_855_28.5s.jpg
860,28.67,0.95,frames\video02\frame_860_28.67s.jpg
865,28.83,0.95,frames\video02\frame_865_28.83s.jpg
870,29.0,0.95,frames\video02\frame_870_29.0s.jpg
875,29.17,0.95,frames\video02\frame_875_29.17s.jpg
880,29.33,0.947,frames\video02\frame_880_29.33s.jpg
885,29.5,0.947,frames\video02\frame_885_29.5s.jpg
890,29.67,0.947,frames\video02\frame_890_29.67s.jpg
895,29.83,0.947,frames\video02\frame_895_29.83s.jpg
900,30.0,0.947,frames\video02\frame_900_30.0s.jpg
905,30.17,0.947,frames\video02\frame_905_30.17s.jpg
910,30.33,0.947,frames\video02\frame_910_30.33s.jpg
915,30.5,0.947,frames\video02\frame_915_30.5s.jpg
920,30.67,0.947,frames\video02\frame_920_30.67s.jpg
925,30.83,0.947,frames\video02\frame_925_30.83s.jpg
930,31.0,0.947,frames\video02\frame_930_31.0s.jpg
935,31.17,0.948,frames\video02\frame_935_31.17s.jpg
940,31.33,0.947,frames\video02\frame_940_31.33s.jpg
945,31.5,0.947,frames\video02\frame_945_31.5s.jpg
950,31.67,0.947,frames\video02\frame_950_31.67s.jpg
955,31.83,0.947,frames\video02\frame_955_31.83s.jpg
960,32.0,0.947,frames\video02\frame_960_32.0s.jpg
965,32.17,0.947,frames\video02\frame_965_32.17s.jpg
970,32.33,0.947,frames\video02\frame_970_32.33s.jpg
975,32.5,0.947,frames\video02\frame_975_32.5s.jpg
980,32.67,0.947,frames\video02\frame_980_32.67s.jpg
985,32.83,0.979,frames\video02\frame_985_32.83s.jpg
995,33.17,0.978,frames\video02\frame_995_33.17s.jpg
1000,33.33,0.978,frames\video02\frame_1000_33.33s.jpg
1005,33.5,0.975,frames\video02\frame_1005_33.5s.jpg
1010,33.67,0.976,frames\video02\frame_1010_33.67s.jpg
1015,33.83,0.98,frames\video02\frame_1015_33.83s.jpg
1020,34.0,0.978,frames\video02\frame_1020_34.0s.jpg
1025,34.17,0.978,frames\video02\frame_1025_34.17s.jpg
1030,34.33,0.973,frames\video02\frame_1030_34.33s.jpg
1035,34.5,0.976,frames\video02\frame_1035_34.5s.jpg
1045,34.83,0.976,frames\video02\frame_1045_34.83s.jpg
1055,35.17,0.97,frames\video02\frame_1055_35.17s.jpg
1060,35.33,0.974,frames\video02\frame_1060_35.33s.jpg
1065,35.5,0.973,frames\video02\frame_1065_35.5s.jpg
1070,35.67,0.973,frames\video02\frame_1070_35.67s.jpg
1075,35.83,0.973,frames\video02\frame_1075_35.83s.jpg
1080,36.0,0.973,frames\video02\frame_1080_36.0s.jpg
1085,36.17,0.973,frames\video02\frame_1085_36.17s.jpg
1090,36.33,0.973,frames\video02\frame_1090_36.33s.jpg
1095,36.5,0.975,frames\video02\frame_1095_36.5s.jpg
1100,36.67,0.973,frames\video02\frame_1100_36.67s.jpg
1105,36.83,0.968,frames\video02\frame_1105_36.83s.jpg
1110,37.0,0.969,frames\video02\frame_1110_37.0s.jpg
1115,37.17,0.968,frames\video02\frame_1115_37.17s.jpg
1120,37.33,0.967,frames\video02\frame_1120_37.33s.jpg
1125,37.5,0.968,frames\video02\frame_1125_37.5s.jpg
1130,37.67,0.968,frames\video02\frame_1130_37.67s.jpg
1135,37.83,0.953,frames\video02\frame_1135_37.83s.jpg
1140,38.0,0.952,frames\video02\frame_1140_38.0s.jpg
1145,38.17,0.952,frames\video02\frame_1145_38.17s.jpg
1150,38.33,0.952,frames\video02\frame_1150_38.33s.jpg
